Question,option1,option2,option3,option4,answer
The Indian National Congress was founded in which year?,1885,1905,1919,1947,1885
Which Indian city is known as the 'Silicon Valley of India'?,Mumbai,Delhi,Bengaluru,Hyderabad,Bengaluru
What does GST stand for in the Indian tax system?,Goods and Services Tax,General Sales Tax,Government Service Tax,Goods and Sales Tax,Goods and Services Tax
The concept of 'Ahimsa' (non-violence) is a fundamental tenet of which major Indian religions?,Only Hinduism,Only Jainism,Only Buddhism,"Hinduism, Buddhism, and Jainism","Hinduism, Buddhism, and Jainism"
The Bhopal gas tragedy was caused by the leakage of which gas?,Methyl isocyanate,Phosgene,Chlorine,Sulfur dioxide,Methyl isocyanate
Who is known as the father of the Green Revolution in India?,Verghese Kurien,M.S. Swaminathan,C.V. Raman,Homi J. Bhabha,M.S. Swaminathan
What is the name of India's first indigenous supercomputer?,PARAM 8000,Pratyush,Mihir,SAGA-220,PARAM 8000
Who is known as the 'Father of the Indian Constitution'?,Mahatma Gandhi,Jawaharlal Nehru,Dr. B.R. Ambedkar,Sardar Patel,Dr. B.R. Ambedkar
The Reserve Bank of India (RBI) was established in which year?,1935,1947,1950,1969,1935
The 'Yoga Sutras' are attributed to which ancient Indian sage?,Patanjali,Kapila,Gautama,Vyasa,Patanjali
"Which Indian company developed the indigenous COVID-19 vaccine, Covaxin?",Serum Institute of India,Bharat Biotech,Dr. Reddy's Laboratories,Cipla,Bharat Biotech
The Battle of Plassey was fought in which year?,1757,1764,1857,1947,1757
What does UPI stand for in the context of Indian digital payments?,Unified Payment Interface,Unique Payment Identifier,Universal Payment Interface,Unified Public Interface,Unified Payment Interface
What is the term for the tax levied on the income of individuals in India?,Corporate Tax,Income Tax,Wealth Tax,GST,Income Tax
Who was the founder of the Advaita Vedanta school of philosophy?,Ramanuja,Madhvacharya,Adi Shankara,Patanjali,Adi Shankara
Which element's vast reserves are central to India's long-term nuclear power program strategy?,Uranium-235,Thorium,Plutonium-239,Radium,Thorium
"ISRO, India's space agency, stands for what?",Indian Satellite Research Organisation,Indian Space Research Organisation,International Space Research Organisation,Indian Space Rocket Organisation,Indian Space Research Organisation
"Which stock exchange, located in Mumbai, is the oldest in Asia?",National Stock Exchange (NSE),Bombay Stock Exchange (BSE),Calcutta Stock Exchange,Delhi Stock Exchange,Bombay Stock Exchange (BSE)
"What is the chemical name for common salt, a major product from states like Gujarat?",Potassium Chloride,Sodium Bicarbonate,Sodium Chloride,Calcium Carbonate,Sodium Chloride
"Bt Cotton, a genetically modified crop grown in India, is engineered to resist what?",Drought,Herbicides,Bollworms,Fungi,Bollworms
"Who wrote the Indian national anthem, 'Jana Gana Mana'?",Bankim Chandra Chatterjee,Rabindranath Tagore,Sarojini Naidu,Muhammad Iqbal,Rabindranath Tagore
Chandrayaan-3's Vikram lander successfully landed near which pole of the Moon?,North Pole,South Pole,Equator,Sea of Tranquility,South Pole
A PAN card in India is primarily used for what purpose?,Voting,Identity Proof,Tracking financial transactions for tax purposes,Passport application,Tracking financial transactions for tax purposes
The philosophical concept of 'Dharma' broadly refers to what?,Wealth,"Duty, righteousness, and moral order",Pleasure,Liberation,"Duty, righteousness, and moral order"
Which Indian state is the largest producer of tea?,Kerala,Assam,West Bengal,Karnataka,Assam
"What is the maximum strength of the Lok Sabha, the lower house of the Indian Parliament?",250,543,550,552,550
"The ruins of Hampi, a UNESCO World Heritage site, are located in which modern Indian state?",Karnataka,Tamil Nadu,Andhra Pradesh,Kerala,Karnataka
What is the name of the digital locker system launched by the Government of India?,DigiLocker,e-Vault,GovSafe,BharatLocker,DigiLocker
The 'White Revolution' in India is associated with an increase in the production of what?,Milk,Rice,Cotton,Eggs,Milk
What is the Goods and Services Tax Identification Number (GSTIN)?,10-digit alphanumeric number,15-digit alphanumeric number,12-digit numeric number,16-digit numeric number,15-digit alphanumeric number
In which state is the ancient university of Nalanda located?,Uttar Pradesh,Bihar,Madhya Pradesh,Odisha,Bihar
Which IIT first developed an indigenous processor under the 'Shakti' project?,IIT Bombay,IIT Delhi,IIT Madras,IIT Kanpur,IIT Madras
"'Satyameva Jayate' (Truth alone triumphs), inscribed on the national emblem, is taken from which ancient text?",Bhagavad Gita,Ramayana,Mundaka Upanishad,Arthashastra,Mundaka Upanishad
The process of converting milk into curd is an example of what?,Fermentation,Pasteurization,Homogenization,Distillation,Fermentation
What is a 'demat' account used for in the Indian financial market?,Holding shares and securities in electronic form,Depositing cash,Applying for loans,Paying taxes,Holding shares and securities in electronic form
The Indus Valley Civilization flourished primarily in which part of the Indian subcontinent?,Eastern,Southern,North-western,Central,North-western
Who is considered the father of the Indian space program?,C.V. Raman,Homi J. Bhabha,Vikram Sarabhai,A.P.J. Abdul Kalam,Vikram Sarabhai
The study of ancient inscriptions is known as what?,Numismatics,Epigraphy,Paleography,Archaeology,Epigraphy
TDS in the context of Indian taxation stands for?,Tax Deducted at Source,Total Debt Service,Tax Deposition Scheme,Term Deposit Scheme,Tax Deducted at Source
The six orthodox schools (astika) of Hindu philosophy are collectively known as what?,Sramana,Darshanas,Agamas,Puranas,Darshanas
"Which of these is a major biopharmaceutical company in India, known for producing insulin?",Cipla,Sun Pharma,Biocon,Lupin,Biocon
The Golden Temple in Amritsar is the holiest shrine for which religion?,Hinduism,Islam,Sikhism,Jainism,Sikhism
Which government entity is responsible for launching the ONDC platform for e-commerce?,NITI Aayog,Reserve Bank of India,Department for Promotion of Industry and Internal Trade (DPIIT),Ministry of Finance,Department for Promotion of Industry and Internal Trade (DPIIT)
What is Form 26AS in the Indian income tax system?,A form to file income tax returns,A consolidated annual tax statement,A form to claim tax refunds,A form for tax deduction,A consolidated annual tax statement
The ancient Indian text 'Charaka Samhita' is primarily associated with which field?,Astronomy,Mathematics,Medicine (Ayurveda),Grammar,Medicine (Ayurveda)
"What type of polymer is natural rubber, widely cultivated in Kerala?",Polyester,Polypropylene,Polyamide,Polyisoprene,Polyisoprene
The 'Make in India' initiative was launched primarily to boost which sector of the economy?,Agriculture,Services,Manufacturing,Tourism,Manufacturing
Who was the last Mughal emperor of India?,Akbar,Aurangzeb,Shah Jahan,Bahadur Shah Zafar II,Bahadur Shah Zafar II
Which of these is India's first domestically built aircraft carrier?,INS Vikramaditya,INS Viraat,INS Vikrant,INS Vishal,INS Vikrant
What does 'repo rate' signify in the Indian banking system?,The rate at which commercial banks lend to RBI,The rate at which RBI lends to commercial banks,The interest rate on fixed deposits,The rate for inter-bank lending,The rate at which RBI lends to commercial banks
The philosophical principle of 'Karma' refers to the law of what?,Destiny,Action and consequence,Reincarnation,Devotion,Action and consequence
Which acid is produced in the human stomach to aid digestion?,Sulfuric Acid,Acetic Acid,Hydrochloric Acid,Nitric Acid,Hydrochloric Acid
"CRISPR-Cas9, a technology being explored in Indian labs, is primarily used for what?",Data Storage,Gene Editing,Weather Forecasting,Quantum Computing,Gene Editing
Who was the first woman Prime Minister of India?,Sarojini Naidu,Pratibha Patil,Indira Gandhi,Sonia Gandhi,Indira Gandhi
What is the Aadhaar number?,A 10-digit alphanumeric identifier,A 12-digit unique identity number,A 16-digit bank account number,A 9-digit tax code,A 12-digit unique identity number
SEBI is the regulatory body for which market in India?,Insurance Market,Commodities Market,Securities and Capital Market,Banking Sector,Securities and Capital Market
The Buddhist philosophy of the 'Middle Path' avoids which two extremes?,Wealth and Poverty,Eternalism and Nihilism,Asceticism and Hedonism,Love and Hate,Asceticism and Hedonism
The chemical used for artificial ripening of fruits like mangoes is commonly?,Methane,Ethylene,Acetylene (from calcium carbide),Propane,Acetylene (from calcium carbide)
"What is 'Golden Rice', a topic of biotech research in India?",A variety of rice that grows faster,A genetically modified rice with high Vitamin A content,A type of aromatic basmati rice,A pest-resistant rice variety,A genetically modified rice with high Vitamin A content
The Mauryan Empire was founded by whom?,Ashoka the Great,Bindusara,Chandragupta Maurya,Chanakya,Chandragupta Maurya
India's 'Digital India' program aims to achieve what?,Provide free laptops to all students,Transform India into a digitally empowered society and knowledge economy,Create a new social media platform,Digitize all paper records,Transform India into a digitally empowered society and knowledge economy
What is the highest slab rate for personal income tax in India under the new tax regime (as of 2023-24)?,20%,25%,30%,40%,30%
